Program,Run,Metric,Value
naive,1,cpu_atom_cycles,1771111034
naive,1,cpu_core_cycles,2077678889
naive,1,cpu_atom_instructions,5714582968
naive,1,cpu_core_instructions,3924606831
naive,1,cpu_atom_L1_dcache_loads,1784161398
naive,1,cpu_core_L1_dcache_loads,812574932
naive,1,cpu_atom_L1_dcache_load_misses,<not
naive,1,cpu_core_L1_dcache_load_misses,6898172
naive,1,cpu_core_l2_rqsts_references,39522407
naive,1,cpu_core_l2_rqsts_miss,13297470
naive,1,cpu_atom_LLC_loads,956030
naive,1,cpu_core_LLC_loads,1574201
naive,1,cpu_atom_LLC_load_misses,108972
naive,1,cpu_core_LLC_load_misses,275617
naive,1,cpu_atom_branch_misses,2264922
naive,1,cpu_core_branch_misses,1108837
naive,1,time_elapsed,0.456116396
naive,1,user_time,0.437022000
naive,1,sys_time,0.019000000
naive,2,cpu_atom_cycles,1783572853
naive,2,cpu_core_cycles,2065420945
naive,2,cpu_atom_instructions,1786589537
naive,2,cpu_core_instructions,3912325626
naive,2,cpu_atom_L1_dcache_loads,450990527
naive,2,cpu_core_L1_dcache_loads,840345034
naive,2,cpu_atom_L1_dcache_load_misses,<not
naive,2,cpu_core_L1_dcache_load_misses,6605853
naive,2,cpu_core_l2_rqsts_references,40051033
naive,2,cpu_core_l2_rqsts_miss,12188652
naive,2,cpu_atom_LLC_loads,4123052
naive,2,cpu_core_LLC_loads,1378327
naive,2,cpu_atom_LLC_load_misses,0
naive,2,cpu_core_LLC_load_misses,438528
naive,2,cpu_atom_branch_misses,11918216
naive,2,cpu_core_branch_misses,1203570
naive,2,time_elapsed,0.470399249
naive,2,user_time,0.433952000
naive,2,sys_time,0.030996000
naive,3,cpu_atom_cycles,1778194820
naive,3,cpu_core_cycles,2067766505
naive,3,cpu_atom_instructions,4805721474
naive,3,cpu_core_instructions,3930667286
naive,3,cpu_atom_L1_dcache_loads,1477043780
naive,3,cpu_core_L1_dcache_loads,814662927
naive,3,cpu_atom_L1_dcache_load_misses,<not
naive,3,cpu_core_L1_dcache_load_misses,7343817
naive,3,cpu_core_l2_rqsts_references,39276093
naive,3,cpu_core_l2_rqsts_miss,12870690
naive,3,cpu_atom_LLC_loads,1069908
naive,3,cpu_core_LLC_loads,1649070
naive,3,cpu_atom_LLC_load_misses,161123
naive,3,cpu_core_LLC_load_misses,290261
naive,3,cpu_atom_branch_misses,2963803
naive,3,cpu_core_branch_misses,1260885
naive,3,time_elapsed,0.458024747
naive,3,user_time,0.431944000
naive,3,sys_time,0.025996000
naive,4,cpu_atom_cycles,1511118265
naive,4,cpu_core_cycles,2093398049
naive,4,cpu_atom_instructions,5011370569
naive,4,cpu_core_instructions,3890749293
naive,4,cpu_atom_L1_dcache_loads,1309977304
naive,4,cpu_core_L1_dcache_loads,850048462
naive,4,cpu_atom_L1_dcache_load_misses,<not
naive,4,cpu_core_L1_dcache_load_misses,6727247
naive,4,cpu_core_l2_rqsts_references,39799602
naive,4,cpu_core_l2_rqsts_miss,12666012
naive,4,cpu_atom_LLC_loads,564905
naive,4,cpu_core_LLC_loads,1337225
naive,4,cpu_atom_LLC_load_misses,0
naive,4,cpu_core_LLC_load_misses,349025
naive,4,cpu_atom_branch_misses,2747110
naive,4,cpu_core_branch_misses,1241654
naive,4,time_elapsed,0.412122118
naive,4,user_time,0.391067000
naive,4,sys_time,0.021003000
naive,5,cpu_atom_cycles,1493293664
naive,5,cpu_core_cycles,2068167574
naive,5,cpu_atom_instructions,1038679199
naive,5,cpu_core_instructions,3957351959
naive,5,cpu_atom_L1_dcache_loads,243687391
naive,5,cpu_core_L1_dcache_loads,849629279
naive,5,cpu_atom_L1_dcache_load_misses,<not
naive,5,cpu_core_L1_dcache_load_misses,7831705
naive,5,cpu_core_l2_rqsts_references,39296338
naive,5,cpu_core_l2_rqsts_miss,13203195
naive,5,cpu_atom_LLC_loads,2023381
naive,5,cpu_core_LLC_loads,1529328
naive,5,cpu_atom_LLC_load_misses,0
naive,5,cpu_core_LLC_load_misses,358207
naive,5,cpu_atom_branch_misses,10066535
naive,5,cpu_core_branch_misses,1138940
naive,5,time_elapsed,0.405916134
naive,5,user_time,0.382796000
naive,5,sys_time,0.022987000
openMP,1,cpu_atom_cycles,1333977963
openMP,1,cpu_core_cycles,4459184104
openMP,1,cpu_atom_instructions,1268406060
openMP,1,cpu_core_instructions,3893545491
openMP,1,cpu_atom_L1_dcache_loads,310532784
openMP,1,cpu_core_L1_dcache_loads,801762972
openMP,1,cpu_atom_L1_dcache_load_misses,<not
openMP,1,cpu_core_L1_dcache_load_misses,12372375
openMP,1,cpu_core_l2_rqsts_references,43764869
openMP,1,cpu_core_l2_rqsts_miss,15032899
openMP,1,cpu_atom_LLC_loads,803625
openMP,1,cpu_core_LLC_loads,2922684
openMP,1,cpu_atom_LLC_load_misses,651
openMP,1,cpu_core_LLC_load_misses,448084
openMP,1,cpu_atom_branch_misses,884704
openMP,1,cpu_core_branch_misses,1061899
openMP,1,time_elapsed,0.224246471
openMP,1,user_time,1.028520000
openMP,1,sys_time,0.026140000
openMP,2,cpu_atom_cycles,1572357155
openMP,2,cpu_core_cycles,3848636157
openMP,2,cpu_atom_instructions,552745138
openMP,2,cpu_core_instructions,4236350573
openMP,2,cpu_atom_L1_dcache_loads,60841527
openMP,2,cpu_core_L1_dcache_loads,947328981
